,image,num of ppl
0,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_0960.jpg_checked_256_256_cropped/0/pocari-cm_0960.jpg_checked_256_256_30_30_0_50_50.jpg,0
1,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_0960.jpg_checked_256_256_cropped/0/pocari-cm_0960.jpg_checked_256_256_30_30_0_80_50.jpg,0
2,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_0960.jpg_checked_256_256_cropped/0/pocari-cm_0960.jpg_checked_256_256_30_30_0_110_50.jpg,0
3,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_0960.jpg_checked_256_256_cropped/0/pocari-cm_0960.jpg_checked_256_256_30_30_0_140_50.jpg,0
4,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_0960.jpg_checked_256_256_cropped/0/pocari-cm_0960.jpg_checked_256_256_30_30_0_170_50.jpg,0
5,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_0960.jpg_checked_256_256_cropped/0/pocari-cm_0960.jpg_checked_256_256_30_30_0_200_50.jpg,0
6,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_0960.jpg_checked_256_256_cropped/0/pocari-cm_0960.jpg_checked_256_256_30_30_0_230_50.jpg,0
7,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_0960.jpg_checked_256_256_cropped/0/pocari-cm_0960.jpg_checked_256_256_30_30_0_260_50.jpg,0
8,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_0960.jpg_checked_256_256_cropped/0/pocari-cm_0960.jpg_checked_256_256_30_30_0_290_50.jpg,0
9,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_0960.jpg_checked_256_256_cropped/0/pocari-cm_0960.jpg_checked_256_256_30_30_0_320_50.jpg,0
10,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_0960.jpg_checked_256_256_cropped/0/pocari-cm_0960.jpg_checked_256_256_30_30_0_350_50.jpg,0
11,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_0960.jpg_checked_256_256_cropped/0/pocari-cm_0960.jpg_checked_256_256_30_30_0_380_50.jpg,0
12,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_0960.jpg_checked_256_256_cropped/0/pocari-cm_0960.jpg_checked_256_256_30_30_0_410_50.jpg,0
13,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_0960.jpg_checked_256_256_cropped/0/pocari-cm_0960.jpg_checked_256_256_30_30_0_440_50.jpg,0
14,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_0960.jpg_checked_256_256_cropped/0/pocari-cm_0960.jpg_checked_256_256_30_30_0_470_50.jpg,0
15,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_0960.jpg_checked_256_256_cropped/0/pocari-cm_0960.jpg_checked_256_256_30_30_0_500_50.jpg,0
16,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_0960.jpg_checked_256_256_cropped/0/pocari-cm_0960.jpg_checked_256_256_30_30_0_530_50.jpg,0
17,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_0960.jpg_checked_256_256_cropped/0/pocari-cm_0960.jpg_checked_256_256_30_30_0_560_50.jpg,0
18,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_0960.jpg_checked_256_256_cropped/1/pocari-cm_0960.jpg_checked_256_256_30_30_0_590_50.jpg,1
19,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_0960.jpg_checked_256_256_cropped/1/pocari-cm_0960.jpg_checked_256_256_30_30_0_620_50.jpg,1
20,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_0960.jpg_checked_256_256_cropped/1/pocari-cm_0960.jpg_checked_256_256_30_30_0_650_50.jpg,1
21,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_0960.jpg_checked_256_256_cropped/1/pocari-cm_0960.jpg_checked_256_256_30_30_0_680_50.jpg,1
