,image,x,y,num
0,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1140.jpg_checked_256_256_cropped/13/pocari-cm_1140.jpg_checked_256_256_30_30_0_290_50.jpg,140,58,13
1,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1140.jpg_checked_256_256_cropped/13/pocari-cm_1140.jpg_checked_256_256_30_30_0_290_50.jpg,160,53,13
2,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1140.jpg_checked_256_256_cropped/13/pocari-cm_1140.jpg_checked_256_256_30_30_0_290_50.jpg,123,61,13
3,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1140.jpg_checked_256_256_cropped/13/pocari-cm_1140.jpg_checked_256_256_30_30_0_290_50.jpg,95,61,13
4,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1140.jpg_checked_256_256_cropped/13/pocari-cm_1140.jpg_checked_256_256_30_30_0_290_50.jpg,101,92,13
5,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1140.jpg_checked_256_256_cropped/13/pocari-cm_1140.jpg_checked_256_256_30_30_0_290_50.jpg,66,42,13
6,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1140.jpg_checked_256_256_cropped/13/pocari-cm_1140.jpg_checked_256_256_30_30_0_290_50.jpg,31,53,13
7,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1140.jpg_checked_256_256_cropped/13/pocari-cm_1140.jpg_checked_256_256_30_30_0_290_50.jpg,15,59,13
8,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1140.jpg_checked_256_256_cropped/13/pocari-cm_1140.jpg_checked_256_256_30_30_0_290_50.jpg,112,146,13
9,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1140.jpg_checked_256_256_cropped/13/pocari-cm_1140.jpg_checked_256_256_30_30_0_290_50.jpg,132,156,13
10,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1140.jpg_checked_256_256_cropped/13/pocari-cm_1140.jpg_checked_256_256_30_30_0_290_50.jpg,7,175,13
11,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1140.jpg_checked_256_256_cropped/13/pocari-cm_1140.jpg_checked_256_256_30_30_0_290_50.jpg,52,144,13
12,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1140.jpg_checked_256_256_cropped/13/pocari-cm_1140.jpg_checked_256_256_30_30_0_290_50.jpg,234,141,13
13,/home/daisuke/Workplace/Count-Annotator2/pocari-cm.mp4_output/pocari-cm_1140.jpg_checked_256_256_cropped/13/pocari-cm_1140.jpg_checked_256_256_30_30_0_290_80.jpg,140,28,13
